Ticker,Year,Borrowings,CFO,CWIP,Depreciation,EquityCapital,FCF,FixedAssets,Interest,Investments,NetProfit,OperatingProfit,OtherAssets,OtherLiabilities,PBT,Reserves,Sales,TotalAssets,TotalLiabilities
ADANIENSOL,2026,49176,10997,2054,508,1201,-3435,46804,954,2644,723,2145,41256,18153,910,24226,7443,92757,92757
ADANIENSOL,2023,,,,432,,,,641,,284,1350,,,370,,3674,,
ADANIENSOL,2024,,,,484,,,,813,,773,1715,,,594,,6184,,
ADANIENSOL,2025,,,,509,,,,872,,557,1955,,,746,,6596,,
ADANIENT,2023,,,,760,,,,597,,1973,3226,,,2361,,25050,,
ADANIENT,2024,,,,1006,,,,2141,,229,3070,,,572,,22848,,
ADANIENT,2025,,,,1372,,,,1626,,5727,3642,,,6932,,24820,,
ADANIENT,2023,,,,714,,,,1103,,677,2525,,,1079,,22644,,
ADANIENT,2024,,,,934,,,,1130,,1772,3706,,,2232,,25472,,
ADANIENT,2025,,,,1284,,,,1035,,976,3310,,,1466,,21961,,
ADANIENT,2015,83571,8532,6733,3522,110,-621,83834,7056,744,2298,12450,39407,21420,2663,25618,64465,130718,130718
ADANIENT,2016,19169,5112,7705,314,110,-778,10473,1357,805,1000,1684,22696,9132,1056,13268,34008,41679,41679
ADANIENT,2017,20846,774,7731,315,110,-3373,13668,1257,1042,925,1902,25170,12630,1079,14026,36533,47611,47611
ADANIENT,2018,17637,2942,5526,664,110,-4352,10555,1250,1461,594,2038,38864,23679,487,14979,35924,56405,56405
ADANIENT,2019,11243,3236,5765,390,110,1471,9020,1625,1511,506,1969,26240,16537,459,14646,40379,42536,42536
ADANIENT,2020,12419,2454,7347,472,110,-268,10476,1572,1952,1040,2294,27099,17509,1122,16837,43403,46875,46875
ADANIENT,2021,16227,4043,8825,537,110,684,10838,1377,5503,1046,2506,26451,18231,1086,17049,39537,51617,51617
ADANIENT,2022,41604,1385,23544,1248,110,-10260,30123,2526,4292,788,3714,43627,37726,952,22147,69420,101586,101586
ADANIENT,2023,53200,17626,24025,895,114,2972,56881,1525,6310,781,3607,54062,55027,1172,32937,28944,141278,141278
ADANIENT,2024,65310,10312,35180,811,114,-11934,65978,1513,8701,352,3195,50728,56200,696,38962,29180,160586,160586
ADANIENT,2025,91473,4513,51516,1236,115,-25002,77260,1796,9887,4015,3710,59180,56056,5259,50199,26966,197843,197843
